swVersion	productClass	wifiType	operator	province	chipset	chipsetDate	midware	midwareDate	author	firmwareDate	noteAddr	firmwareAddr
RG020ET-CA_SW_B_ZY_CTJL_R1.00.00	RG020ET-CA	RTL8676	CT	jl	S905L		suying	20170614	童维青	2017-06-15	http://oraweb.alcatel.com/pls/webappdad/control_gui.information?name=3CL-94207-8242-FCZZA#01P01	http://172.24.170.213/E%3A/stb/IP_STB现场版本/吉林电信LAN上行
S-010W-A_SW_ZY_CUXJ_R1.01.18	S-010W-A	RTL8189ETV	CU	xj	RK3228B		suying	20170612	姜良超	2017-06-14	http://oraweb.alcatel.com/pls/webappdad/control_gui.information?name=3CL942078011_FCZZA#01P36	http://172.24.170.213/E%3A/stb/IP_STB现场版本/新疆联通
S-010W-A_SW_A_ZY_CUSD_R1.01.14	S-010W-A	RTL8189ETV	CU	sd	RK3228B	20170421	suying	20170614	张丛静	2017-06-14	http://oraweb.alcatel.com/pls/webappdad/control_gui.information?name=3CL942078014_FCZZA#01P42	http://172.24.170.213/E%3A/stb/IP_STB现场版本/山东联通
G-120WT-P_SW_A_ZY_CUNM_R1.00.07	G-120WT-P	MTK7526FU	CU	nm	RK3228B	20170612	suying	20170612	李滨伟	2017-06-14	http://oraweb.alcatel.com/pls/webappdad/control_gui.information?name=3CL942078225_FCZZA#01P07	http://172.24.170.213/E%3A/stb/IP_STB现场版本/二合一内蒙联通
S-010W-A_SW_A_ZY_CUSD_R1.01.13	S-010W-A	RTL8189ETV	CU	sd	RK3228B	20170421	suying	20170612	张丛静	2017-06-12	http://oraweb.alcatel.com/pls/webappdad/control_gui.information?name=3CL942078014_FCZZA#01P41	http://172.24.170.213/E%3A/stb/IP_STB现场版本/山东联通
S-010W-A_SW_A_ZY_CTHN_R1.00.00	S-010W-A	RTL8189ETV	CT	hn	RK3228B	20170606	suying	20170606	童维青	2017-06-08	http://oraweb.alcatel.com/pls/webappdad/control_gui.information?name=3CL942078018_FCZZA#01P01	http://172.24.170.213/E%3A/stb/IP_STB现场版本/湖南电信
S-010W-A_SW_A_ZY_CUSD_R1.01.12	S-010W-A	RTL8189ETV	CU	sd	RK3228B	20170421	suying	20170607	张丛静	2017-06-07	http://oraweb.alcatel.com/pls/webappdad/control_gui.information?name=3CL942078014_FCZZA#01P40	http://172.24.170.213/E%3A/stb/IP_STB现场版本/山东联通
S-010W-A_SW_ZY_CUXJ_R1.01.17	S-010W-A	RTL8189ETV	CU	xj	RK3228B		suying	20170331	姜良超	2017-06-06	http://oraweb.alcatel.com/pls/webappdad/control_gui.information?name=3CL942078011_FCZZA#01P35	http://172.24.170.213/E%3A/stb/IP_STB现场版本/新疆联通
S-010W-A_SW_A_ZY_CUHN_R1.01.06	S-010W-A	RTL8189ETV	CU	hn	RK3228B	20170505	suying	20170515	童维青	2017-06-06	http://oraweb.alcatel.com/pls/webappdad/control_gui.information?name=3CL942078018_FCZZA#02P018	http://172.24.170.213/E%3A/stb/IP_STB现场版本/湖南联通
S-010W-A_SW_A_ZY_CUSC_R1.00.04	S-010W-A	RTL8189ETV	CU	SC	RK3228B	20170331	suying	20170329	张丛静	2017-06-05	http://oraweb.alcatel.com/pls/webappdad/control_gui.information?name=3CL-94207-8235-FCZZA#01P05	http://172.24.170.213/E%3A/stb/IP_STB现场版本/四川联通standalone
G-120WT-P_SW_A_ZY_CMFJ_R1.00.07	G-120WT-P	MTK7526FU	CM	fj	RK3228B	20170512	suying	20170603	姜良超	2017-06-05	http://oraweb.alcatel.com/pls/webappdad/control_gui.information?name=3CL-94207-8220-FCZZA#01P08	http://172.24.170.213/E%3A/stb/IP_STB现场版本/二合一福建移动
